Species	Specimen_ID	Vaa3D_volume
Mouse	555241040	101.07712537530199
Mouse	530737765	790.996803427755
Mouse	584872371	284.329839386667
Mouse	574038330	941.1135443366479
Mouse	477127614	63.0815212774907
Mouse	560965993	96.9146586572635
Mouse	566671538	485.03563687924895
Mouse	579662957	152.010768229695
Mouse	475068599	279.563857273845
Mouse	585841870	292.828041821357
Mouse	565888394	821.320248530678
Mouse	517345160	541.963438210962
Mouse	524689239	376.00620071165804
Mouse	585805211	644.348239138419
Mouse	555697303	516.5671200947589
Mouse	586073850	375.25464176118896
Mouse	585947309	7.02457963793561
Mouse	586072464	905.884732062933
Mouse	527095729	98.3074755014962
Mouse	561325425	288.65373679505404
Mouse	585830272	367.176308103562
Mouse	565120091	963.188529704693
Mouse	592952680	255.43710005051602
Mouse	590558808	380.60261899469805
Mouse	475623964	177.23005393226
Mouse	585951863	308.418558647106
Mouse	513510227	1413.13250854802
Mouse	591278744	520.481576359006
Mouse	555345752	420.504218696127
Mouse	564349611	262.162346511767
Mouse	582917630	693.243774257126
Mouse	583104750	570.9540534339731
Mouse	585925172	452.000703742863
Mouse	586566174	381.674356716041
Mouse	481093525	258.158887490903
Mouse	564346637	670.785609834204
Mouse	509515969	224.015849421231
Mouse	556923554	415.874389749494
Mouse	565407476	429.37776486373
Mouse	566761793	292.277279725585
Mouse	323452196	11.2120908928843
Mouse	569998790	169.572862738372
Mouse	583434059	459.29261683704806
Mouse	609435731	215.27259439165297
Mouse	555001065	1356.08571402355
Mouse	580162374	827.608490375536
Mouse	587045566	555.819895710138
Mouse	567952169	129.985840137631
Mouse	473543792	75.82308049053701
Mouse	565866518	287.670057941184
Mouse	547262585	501.44795387704005
Mouse	580161872	342.91342418801
Mouse	490382353	487.312980455809
Mouse	573404307	446.50081100322
Mouse	536951541	296.079943108368
Mouse	586072783	1009.10639494718
Mouse	466245544	192.364661742607
Mouse	585944237	579.42350988754
Mouse	594091004	377.593249266423
Mouse	569723367	629.860792231348
Mouse	502359001	321.242591517231
Mouse	575774870	409.109021042625
Mouse	569723405	533.313935727388
Mouse	565462089	702.403309157852
Mouse	574993444	64.43565410523941
Mouse	481136138	497.70411686176396
Mouse	488501071	373.60220377906603
Mouse	575642695	595.432792483693
Mouse	574036994	1129.57518446628
Mouse	593321019	-7.581438026752281e-05
Mouse	570896453	76.13112029291679
Mouse	586073683	537.583681280743
Mouse	580145037	480.140375369046
Mouse	527869035	396.576137388648
Mouse	396608557	220.26175627607898
Mouse	574992320	142.576273063623
Mouse	514824979	657.7245370960289
Mouse	321708130	188.047372894881
Mouse	485184849	456.26735212527495
Mouse	475585413	82.1377761872674
Mouse	516362762	345.215633709564
Mouse	586071425	587.923319373245
Mouse	557261437	223.80901305684898
Mouse	571396942	277.544649177289
Mouse	584254833	795.119090351497
Mouse	510715606	600.9912916668869
Mouse	478058328	25.7329996121248
Mouse	586379590	690.000487751116
Mouse	530731648	440.71662846834505
Mouse	578774163	101.62806984031602
Mouse	569958754	309.74919987364495
Mouse	591265629	350.21070390800696
Mouse	578485753	177.060512347881
Mouse	477880128	464.41676541077993
Mouse	562003142	876.189386627937
Mouse	574067499	142.83791670704701
Mouse	561532710	624.628250566161
Mouse	523748610	120.731959014615
Mouse	614777438	107.889782283674
Mouse	547344442	854.1416677092059
Mouse	569810649	238.787194983671
Mouse	555089724	97.40650122921801
Mouse	476686112	178.908970409166
Mouse	555019563	138.686990983289
Mouse	539014038	123.715922538259
Mouse	327962063	180.44641369007599
Mouse	565209132	362.289231098183
Mouse	570946690	1314.88151588483
Mouse	569809287	572.298330688364
Mouse	573622646	750.970272539237
Mouse	534303031	398.048293966181
Mouse	526531616	42.1509808614691
Mouse	471077857	188.431435171603
Mouse	572609108	9.884058715416279
Mouse	475202388	16.1366347043345
Mouse	482516713	54.521240227161705
Mouse	469992918	198.85642774992198
Mouse	574734127	703.942955247509
Mouse	565855793	878.339557359769
Mouse	583138568	191.13883261979
Mouse	565459685	257.90165891601697
Mouse	623185845	2028.54044048243
Mouse	570896413	647.380020335601
Mouse	614767057	254.598241916009
Mouse	583138230	994.6333906737229
Mouse	582613001	366.38907413730203
Mouse	577218602	296.376911676013
Mouse	382982932	354.11256337496803
Mouse	487099387	87.90368175052309
Mouse	547325858	502.796923128238
Mouse	593312584	229.294123552241
Mouse	584231995	120.91276265926399
Mouse	490387590	170.650878850215
Mouse	488504814	492.224651003076
Mouse	565417112	340.451811311012
Mouse	567007144	348.215062003631
Mouse	534141324	506.203946891791
Mouse	585952606	97.53203416835609
Mouse	569494755	372.781037647022
Mouse	567312865	1317.07761361283
Mouse	509617624	240.603641068059
Mouse	560992553	318.533918386891
Mouse	583146274	358.23632717066596
Mouse	487661754	927.953076816344
Mouse	565880475	234.387814820134
Mouse	569072334	407.18017128187006
Mouse	567927838	445.876603687997
Mouse	313862167	512.836253022058
Mouse	574377552	422.8506251822
Mouse	554779051	44.018815391859796
Mouse	561940338	269.88381162534
Mouse	579626068	514.88395406068
Mouse	580014328	922.9089855583079
Mouse	556968207	618.7256282353981
Mouse	478110866	573.012647232831
Mouse	471087830	188.802895018206
Mouse	569670455	508.71462981257304
Mouse	567029686	336.958001428879
Mouse	473564515	134.554469689956
Mouse	591268268	69.1441455011549
Mouse	586072188	773.209133286084
Mouse	502269786	261.856030691327
Mouse	574059157	382.32395961715304
Mouse	561517025	259.300067394756
Mouse	560753350	973.629854687597
Mouse	535728342	147.199537122497
Mouse	566647353	427.92801735979
Mouse	585946742	384.473999671788
Mouse	514767977	387.94827949501
Mouse	571306690	604.937111504282
Mouse	577369606	124.499006126187
Mouse	567354967	157.09610058567
Mouse	561553133	486.37834374995003
Mouse	333604946	35.713918657004704
Mouse	473943881	249.32155631740002
Mouse	519749342	1497.1408411826199
Mouse	475549284	434.643558302163
Mouse	566541912	104.367383840767
Mouse	486896849	866.504180135325
Mouse	582644266	426.094187590541
Mouse	586559181	263.778219569565
Mouse	561985849	366.24223626293997
Mouse	571311039	891.26655266026
Mouse	565863515	3230.65005298485
Mouse	570438732	308.196686551484
Mouse	535708196	653.817361429706
Mouse	515315072	426.76293987164803
Mouse	488677994	219.724722062916
Mouse	324493977	264.610228976291
Mouse	571867358	221.416676292354
Mouse	565415071	597.718010736613
Mouse	313862373	598.616419855661
Mouse	476086391	71.3942074160884
Mouse	562632795	304.63470349223803
Mouse	569965244	728.1465170784579
Mouse	567320213	710.3546868417341
Mouse	585832440	548.25386836649
Mouse	536306115	365.656105176039
Mouse	471077468	202.45323621544998
Mouse	566678900	46.0768783457886
Mouse	473540161	377.968196009773
Mouse	341442651	46.0345360846925
Mouse	571379222	252.12787737541902
Mouse	479905853	197.07956177598203
Mouse	333785962	71.348875252459
Mouse	323475862	106.66985627160601
Mouse	475057898	449.896122291336
Mouse	561934585	926.470029956783
Mouse	324266189	329.294336815294
Mouse	474626527	60.62122592737251
Mouse	554807924	4.3098421853889
Human	519832676	2673.36123338992
Human	596020931	920.407124782448
Human	569095789	204.11517694513
Human	576095991	1030.7558897675501
Human	531520637	1718.8710585459198
Human	616647103	6677.460448333431
Human	542143598	1099.21140829301
Human	531520401	4154.263073237
Human	527942865	3602.7334653356797
Human	529807751	932.317257855766
Human	601927090	225.76339224377497
Human	517673596	6415.133751292529
Human	595999306	208.48856527905
Human	528042185	1148.28317476122
Human	488386626	547.046601055828
Human	528638057	4362.86407586474
Human	571427524	762.9048505988541
Human	508282493	4827.155060893951
Human	576132767	1638.3072988869699
Human	571709783	29.3781490283833
Human	571718621	322.533383285801
Human	508421103	543.9949045790149
Human	561432315	713.8260473711799
Human	530062215	8482.06140089246
Human	527891102	1425.6786297402698
Human	539640410	105.264769622724
Human	541536216	839.754965251702
Human	614230805	1989.8257942408102
Human	614635228	3501.71801440737
Human	643572206	167.961074072605
Human	508410761	1712.51136320762
Human	643582610	779.5598342397541
Human	548473051	1348.78601276352
Human	525018757	857.418151141335
Human	571483807	2717.79012685276
Human	571435969	334.929107305593
Human	548421866	1640.49634409191
Human	508309649	6151.897747277751
Human	587710671	2414.42999693668
Human	561465305	696.283724570919
Human	571471295	1112.76257182555
Human	614197612	1887.7279951929002
Human	528038990	2897.9607343170696
Human	548408551	1485.40878893454
Human	567731428	1428.10067474412
Human	637034000	607.897093981671
Human	576084692	726.74397739754
Human	613442532	2848.14051316607
Human	526785799	1262.7987669161998
Human	571500474	1542.84936861444
Human	548494556	1604.35022321193
Human	614659629	2111.6962958107997
Human	637038252	341.18643289989103
Human	548459652	2962.02412344865
Human	567763632	4073.8888619914796
Human	539661667	5348.13475275349
Human	531526539	386.292866611846
Human	569820026	1080.0376802726598
Human	569820130	2104.69584412496
Human	545604343	2061.0855302203304
Human	571525618	691.050776524376
Human	571624532	4499.40552081426
Human	596052605	4322.984221386961
Human	508378649	855.1750027559
Human	595568262	138.740577645386
Human	508417989	1911.8777171324398
Human	537261100	5074.95662284609
Human	611623402	1120.33984440176
Human	571527806	1571.2861276551998
Human	542137330	2356.0920700782103
Human	571691416	5100.3604658992
Human	571735073	3912.66758223367
Human	526714733	2235.82240445491
Human	613468354	771.2017450758791
Human	569821470	2023.2595754828199
Human	526734407	4385.239341582071
Human	611598198	97.1908269216818
Human	526800653	6387.544544931321
Human	595562635	719.3499627367261
Human	561435279	740.722806192659
Human	571464200	1512.18585152658
Human	571624971	4017.0485647435103
Human	643575207	38.4941656191249
Human	529845713	1992.4834055539102
Human	571429412	699.917668666855
Human	537204107	2840.99055264036
Human	541540569	2360.92349897219
Human	508305938	1505.74195817586
Human	525133308	490.427367797021
Human	529898751	3450.2937967235
Human	537266147	2816.4890657893498
Human	596887423	729.825519657663
Human	528022041	3677.3137824570294
Human	531517732	2383.6748013119395
Human	614651270	2520.17139182953
Human	530081951	167.851906876695
Human	569100745	1920.0928576835897
Human	569825715	841.237745435209
Human	596036453	391.774375264526
Human	541545716	1470.61320335526
Human	527941296	2349.2789237594
Human	576120017	4986.31699669052
Human	526725807	2277.7238492696
Human	526727406	3554.60531499024
Human	571642127	2131.9074791300895
Human	539537094	9055.85335591654
Human	528602977	1673.450894414
Human	528687520	273.870722177152
Human	488386504	107.626503908893
Human	539653924	2705.08035588739
Human	508279351	1505.2320499428101
Human	569818704	3156.1074408107106
Human	537297470	3940.48182530585
Human	571430815	915.114938008914
Human	508405843	512.427428189707
Human	571666289	3518.1248194896802
Human	520454345	3178.8378760361898
Human	596028822	176.790732893325
Human	571450870	1535.74858211992
Human	548440226	3555.7455793645704
Human	520631294	3561.2570799766704
Human	569849486	979.073294732097
Human	537218493	2343.02952851904
Human	571654895	2185.15797802831
Human	571700636	2028.83524328207
Human	548425467	1667.9115637578
Human	537313158	2595.53743481913
Human	569107566	637.290194204194
Human	528614014	4032.19887070084
Human	548457754	394.718222420215
Human	611610514	1397.1677169808802
Human	528015670	699.428316659909
Human	531523484	2946.25722041466
Human	528623840	826.537191419944
Human	541563728	2489.41526061686
Human	529878215	2355.7650594674
Human	562381210	2971.0378166788105
Human	595570553	1175.2581119516099
Human	558211203	3125.88298343323
Human	529863215	5968.433592800289
Human	567742660	424.808293555307
Human	571520182	896.683670643788
Human	488418027	904.463394681945
Human	571659461	1704.4588002713
Human	531517778	7091.88707376923
Human	539542640	3584.4529994515
Human	529889679	1738.4435250482502
Human	537313600	1721.22879827949
Human	569844159	1653.5939617704198
Human	528636794	1404.07900242198
Human	576107598	2183.44450490016
Human	508298270	7924.62268707155
Human	545612828	16108.163739313
Human	527952884	924.634884796079
Human	561469082	2115.0581929602
Human	601958555	2371.63208624457
