Species	Specimen_ID	nm_volume	Vaa3D_volume
Mouse	555241040	3149.566950550533	101.07712537530199
Mouse	530737765	3417.700938650117	790.996803427755
Mouse	584872371	1615.3187173866336	284.329839386667
Mouse	574038330	3222.967899808999	941.1135443366479
Mouse	477127614	1757.481248763785	63.0815212774907
Mouse	560965993	2754.1221684107727	96.9146586572635
Mouse	566671538	1424.3510222088128	485.03563687924895
Mouse	579662957	2428.3010564689507	152.010768229695
Mouse	475068599	3737.954739369713	279.563857273845
Mouse	585841870	1919.2977372725027	292.828041821357
Mouse	565888394	3184.109648668747	821.320248530678
Mouse	517345160	3414.5191213830767	541.963438210962
Mouse	524689239	2024.9178642670413	376.00620071165804
Mouse	585805211	2888.371527710123	644.348239138419
Mouse	555697303	2429.3043512362037	516.5671200947589
Mouse	586073850	1951.8610051151745	375.25464176118896
Mouse	585947309	1539.8395737472956	7.02457963793561
Mouse	586072464	2161.042697401142	905.884732062933
Mouse	527095729	3434.3671219899907	98.3074755014962
Mouse	561325425	2042.6535645914646	288.65373679505404
Mouse	585830272	1749.1267881855426	367.176308103562
Mouse	565120091	3406.665339591773	963.188529704693
Mouse	592952680	3177.2405731058643	255.43710005051602
Mouse	590558808	3511.2528788841532	380.60261899469805
Mouse	475623964	1270.8673821832715	177.23005393226
Mouse	585951863	1753.3515163683646	308.418558647106
Mouse	513510227	8302.262571212299	1413.13250854802
Mouse	591278744	5013.198914145074	520.481576359006
Mouse	555345752	4040.140197668659	420.504218696127
Mouse	564349611	2265.623488849295	262.162346511767
Mouse	582917630	2391.890674025597	693.243774257126
Mouse	583104750	3080.1302144245815	570.9540534339731
Mouse	585925172	1121.7462654093545	452.000703742863
Mouse	586566174	3985.3951875705015	381.674356716041
Mouse	481093525	2865.072353776629	258.158887490903
Mouse	564346637	3327.738046570682	670.785609834204
Mouse	509515969	2766.72075076086	224.015849421231
Mouse	556923554	3224.1335505344537	415.874389749494
Mouse	565407476	862.586080177958	429.37776486373
Mouse	566761793	2102.599391992452	292.277279725585
Mouse	323452196	3878.987015688152	11.2120908928843
Mouse	569998790	4596.136636962596	169.572862738372
Mouse	583434059	2902.9758780535485	459.29261683704806
Mouse	609435731	1978.2858773633523	215.27259439165297
Mouse	555001065	10302.296188644648	1356.08571402355
Mouse	580162374	3958.5873780482734	827.608490375536
Mouse	587045566	993.3272772513626	555.819895710138
Mouse	567952169	6032.358461747982	129.985840137631
Mouse	473543792	4338.768712158461	75.82308049053701
Mouse	565866518	2705.585819404665	287.670057941184
Mouse	547262585	1971.0798146979366	501.44795387704005
Mouse	580161872	2425.079505386471	342.91342418801
Mouse	490382353	6549.188691838086	487.312980455809
Mouse	573404307	3321.562133067223	446.50081100322
Mouse	536951541	2462.6726870170232	296.079943108368
Mouse	586072783	2045.305416943035	1009.10639494718
Mouse	466245544	3806.8230150265417	192.364661742607
Mouse	585944237	1131.9952142149134	579.42350988754
Mouse	594091004	9854.83488062432	377.593249266423
Mouse	569723367	3053.2007945081764	629.860792231348
Mouse	502359001	4199.903933202719	321.242591517231
Mouse	575774870	2289.033486391345	409.109021042625
Mouse	569723405	5674.860600345283	533.313935727388
Mouse	565462089	4004.542585428508	702.403309157852
Mouse	574993444	3310.2363619244115	64.43565410523941
Mouse	481136138	5552.034258252037	497.70411686176396
Mouse	488501071	3273.8018904192418	373.60220377906603
Mouse	575642695	7313.503336539833	595.432792483693
Mouse	574036994	3992.877266260326	1129.57518446628
Mouse	593321019	2664.856953501223	-7.581438026752281e-05
Mouse	570896453	1200.2294453744887	76.13112029291679
Mouse	586073683	2023.6443884869054	537.583681280743
Mouse	580145037	2831.2192886890252	480.140375369046
Mouse	527869035	2007.8501968409478	396.576137388648
Mouse	396608557	3568.6595625680475	220.26175627607898
Mouse	574992320	3827.938207001319	142.576273063623
Mouse	514824979	1645.5121783933414	657.7245370960289
Mouse	321708130	4330.064060087196	188.047372894881
Mouse	485184849	3883.315381173761	456.26735212527495
Mouse	475585413	2717.491247846532	82.1377761872674
Mouse	516362762	2310.166866946092	345.215633709564
Mouse	586071425	1218.3871914382412	587.923319373245
Mouse	557261437	1465.4705297532246	223.80901305684898
Mouse	571396942	2815.1477420383007	277.544649177289
Mouse	584254833	3763.517290454236	795.119090351497
Mouse	510715606	3589.9641778420378	600.9912916668869
Mouse	478058328	2208.1331085245174	25.7329996121248
Mouse	586379590	5996.8083315485555	690.000487751116
Mouse	530731648	10668.721621105782	440.71662846834505
Mouse	578774163	2194.2888105594675	101.62806984031602
Mouse	569958754	3111.3820937420887	309.74919987364495
Mouse	591265629	2313.768739311679	350.21070390800696
Mouse	578485753	2576.956587723369	177.060512347881
Mouse	477880128	1395.8755175855579	464.41676541077993
Mouse	562003142	1661.308372797169	876.189386627937
Mouse	574067499	6609.667982178404	142.83791670704701
Mouse	561532710	2113.2111407070224	624.628250566161
Mouse	523748610	2158.239492106956	120.731959014615
Mouse	614777438	5245.165858034386	107.889782283674
Mouse	547344442	5797.931158659215	854.1416677092059
Mouse	569810649	1513.0279280586317	238.787194983671
Mouse	555089724	1023.6111474304901	97.40650122921801
Mouse	476686112	3629.7464008921306	178.908970409166
Mouse	555019563	4218.446130381044	138.686990983289
Mouse	539014038	2606.323271840961	123.715922538259
Mouse	327962063	1178.4603814390207	180.44641369007599
Mouse	565209132	1700.9659916402911	362.289231098183
Mouse	570946690	4015.801788126189	1314.88151588483
Mouse	569809287	1376.7014433110285	572.298330688364
Mouse	573622646	4549.36557135498	750.970272539237
Mouse	534303031	4154.424723467041	398.048293966181
Mouse	526531616	2747.3233244134053	42.1509808614691
Mouse	471077857	3265.422888263583	188.431435171603
Mouse	572609108	4415.532620140888	9.884058715416279
Mouse	475202388	3415.2207090391234	16.1366347043345
Mouse	482516713	1647.519963277889	54.521240227161705
Mouse	469992918	4408.629681077254	198.85642774992198
Mouse	574734127	2251.0444729821675	703.942955247509
Mouse	565855793	3399.8096308985523	878.339557359769
Mouse	583138568	1326.1714813918707	191.13883261979
Mouse	565459685	2947.638272594065	257.90165891601697
Mouse	623185845	6004.160583754784	2028.54044048243
Mouse	570896413	1297.9587949405402	647.380020335601
Mouse	614767057	3437.4175572853087	254.598241916009
Mouse	583138230	1540.2750340884954	994.6333906737229
Mouse	582613001	945.6381611019448	366.38907413730203
Mouse	577218602	3170.6076822305245	296.376911676013
Mouse	382982932	5406.3953012764005	354.11256337496803
Mouse	487099387	1912.8153224388905	87.90368175052309
Mouse	547325858	8664.878900973727	502.796923128238
Mouse	593312584	1387.1023350808346	229.294123552241
Mouse	584231995	3377.7891371332594	120.91276265926399
Mouse	490387590	4100.980154312846	170.650878850215
Mouse	488504814	3458.3293332295125	492.224651003076
Mouse	565417112	1685.4708917726362	340.451811311012
Mouse	567007144	1513.172793706013	348.215062003631
Mouse	534141324	3274.643062963569	506.203946891791
Mouse	585952606	1352.4521238062014	97.53203416835609
Mouse	569494755	2238.5049556523472	372.781037647022
Mouse	567312865	7486.918018041109	1317.07761361283
Mouse	509617624	3007.145195905623	240.603641068059
Mouse	560992553	2239.331218745527	318.533918386891
Mouse	583146274	910.5113183645442	358.23632717066596
Mouse	487661754	3677.5960992685164	927.953076816344
Mouse	565880475	1627.505203205208	234.387814820134
Mouse	569072334	2951.9666473789703	407.18017128187006
Mouse	567927838	3460.367697340823	445.876603687997
Mouse	313862167	3074.544326317512	512.836253022058
Mouse	574377552	2836.4598842123114	422.8506251822
Mouse	554779051	2296.091427535889	44.018815391859796
Mouse	561940338	1713.962884228571	269.88381162534
Mouse	579626068	3273.507183273577	514.88395406068
Mouse	580014328	4568.13725767187	922.9089855583079
Mouse	556968207	2798.027326457444	618.7256282353981
Mouse	478110866	1030.459498838008	573.012647232831
Mouse	471087830	3402.8915939736466	188.802895018206
Mouse	569670455	2316.7774412608514	508.71462981257304
Mouse	567029686	2487.779302960225	336.958001428879
Mouse	473564515	2988.220167713736	134.554469689956
Mouse	591268268	3475.912266596348	69.1441455011549
Mouse	586072188	1009.7979374501327	773.209133286084
Mouse	502269786	5926.681327281987	261.856030691327
Mouse	574059157	3217.862747408029	382.32395961715304
Mouse	561517025	5288.426794460502	259.300067394756
Mouse	560753350	9627.084515368042	973.629854687597
Mouse	535728342	2117.475758588204	147.199537122497
Mouse	566647353	3111.339680449912	427.92801735979
Mouse	585946742	804.1868787491652	384.473999671788
Mouse	514767977	1434.243976707909	387.94827949501
Mouse	571306690	4722.2262186833805	604.937111504282
Mouse	577369606	1923.882542416598	124.499006126187
Mouse	567354967	1938.184057085932	157.09610058567
Mouse	561553133	3300.1171382070784	486.37834374995003
Mouse	333604946	2698.1761297455278	35.713918657004704
Mouse	473943881	3650.5533591763756	249.32155631740002
Mouse	519749342	3564.958964250794	1497.1408411826199
Mouse	475549284	4672.176709024622	434.643558302163
Mouse	566541912	2426.5481705062757	104.367383840767
Mouse	486896849	8817.933657837959	866.504180135325
Mouse	582644266	977.7576509487053	426.094187590541
Mouse	586559181	3002.834691190035	263.778219569565
Mouse	561985849	6368.893231611673	366.24223626293997
Mouse	571311039	3826.29361052182	891.26655266026
Mouse	565863515	6022.196077557722	3230.65005298485
Mouse	570438732	1278.3350069123649	308.196686551484
Mouse	535708196	2228.673232895622	653.817361429706
Mouse	515315072	1547.1297201122684	426.76293987164803
Mouse	488677994	3849.8236427276793	219.724722062916
Mouse	324493977	2920.9155497576576	264.610228976291
Mouse	571867358	2627.5379647834875	221.416676292354
Mouse	565415071	2626.232382400249	597.718010736613
Mouse	313862373	6741.669841788583	598.616419855661
Mouse	476086391	1079.5377716028247	71.3942074160884
Mouse	562632795	2931.3644544830167	304.63470349223803
Mouse	569965244	4763.418043190593	728.1465170784579
Mouse	567320213	2874.6038756136686	710.3546868417341
Mouse	585832440	2496.988940451735	548.25386836649
Mouse	536306115	1887.533705788641	365.656105176039
Mouse	471077468	3925.099373663627	202.45323621544998
Mouse	566678900	1947.306984467733	46.0768783457886
Mouse	473540161	3290.556762881131	377.968196009773
Mouse	341442651	5529.8394491440795	46.0345360846925
Mouse	571379222	4569.276606070091	252.12787737541902
Mouse	479905853	2837.2658191097917	197.07956177598203
Mouse	333785962	2416.757929675612	71.348875252459
Mouse	323475862	1675.1219700221664	106.66985627160601
Mouse	475057898	2520.977746799483	449.896122291336
Mouse	561934585	3182.6383399717647	926.470029956783
Mouse	324266189	3369.2232226954698	329.294336815294
Mouse	474626527	1661.264602070807	60.62122592737251
Mouse	554807924	1823.7411668717718	4.3098421853889
Human	519832676	5324.976266713852	2673.36123338992
Human	596020931	6492.747097834413	920.407124782448
Human	569095789	1359.4406400283688	204.11517694513
Human	576095991	4486.052381717171	1030.7558897675501
Human	531520637	5944.823514473936	1718.8710585459198
Human	616647103	15158.789548034281	6677.460448333431
Human	542143598	2473.1009230811856	1099.21140829301
Human	531520401	13160.735209979819	4154.263073237
Human	527942865	7324.4656032112025	3602.7334653356797
Human	529807751	5534.297948263755	932.317257855766
Human	601927090	849.7035528940145	225.76339224377497
Human	517673596	13009.645503582742	6415.133751292529
Human	595999306	1820.2582896065244	208.48856527905
Human	528042185	5414.534443231707	1148.28317476122
Human	488386626	4086.7475601098354	547.046601055828
Human	528638057	22979.814381507134	4362.86407586474
Human	571427524	4784.8739914765665	762.9048505988541
Human	508282493	9552.521840567315	4827.155060893951
Human	576132767	3316.754637266239	1638.3072988869699
Human	571709783	4171.2406918224515	29.3781490283833
Human	571718621	3092.7041765833465	322.533383285801
Human	508421103	2463.797511984752	543.9949045790149
Human	561432315	3409.192580425756	713.8260473711799
Human	530062215	18702.857806363358	8482.06140089246
Human	527891102	5416.488995482663	1425.6786297402698
Human	539640410	5534.938091730577	105.264769622724
Human	541536216	3544.045327072458	839.754965251702
Human	614230805	9112.012794866809	1989.8257942408102
Human	614635228	5058.101729207299	3501.71801440737
Human	643572206	1768.8077212601602	167.961074072605
Human	508410761	14793.040401469372	1712.51136320762
Human	643582610	4020.039848780666	779.5598342397541
Human	548473051	9258.938099420016	1348.78601276352
Human	525018757	4237.90443736414	857.418151141335
Human	571483807	7194.219234877475	2717.79012685276
Human	571435969	2583.337880747758	334.929107305593
Human	548421866	10227.331169743398	1640.49634409191
Human	508309649	13508.842395795102	6151.897747277751
Human	587710671	7456.130748307093	2414.42999693668
Human	561465305	2904.5258239420746	696.283724570919
Human	571471295	6363.321835733976	1112.76257182555
Human	614197612	4688.442705370595	1887.7279951929002
Human	528038990	10323.322086510085	2897.9607343170696
Human	548408551	7227.482634316184	1485.40878893454
Human	567731428	5781.535051991489	1428.10067474412
Human	637034000	1713.3133420533445	607.897093981671
Human	576084692	3189.7361401118324	726.74397739754
Human	613442532	9190.536007854686	2848.14051316607
Human	526785799	4780.435898353057	1262.7987669161998
Human	571500474	5421.3913764051695	1542.84936861444
Human	548494556	8803.957321625872	1604.35022321193
Human	614659629	5144.82456060617	2111.6962958107997
Human	637038252	2165.3404930013057	341.18643289989103
Human	548459652	19819.048008288504	2962.02412344865
Human	567763632	9909.202054588412	4073.8888619914796
Human	539661667	14365.567881646115	5348.13475275349
Human	531526539	5229.498591738633	386.292866611846
Human	569820026	2409.948926866389	1080.0376802726598
Human	569820130	3754.8918350862673	2104.69584412496
Human	545604343	4390.106275686686	2061.0855302203304
Human	571525618	1788.3395089047465	691.050776524376
Human	571624532	9996.764214634746	4499.40552081426
Human	596052605	7725.52594275135	4322.984221386961
Human	508378649	3511.5477681579564	855.1750027559
Human	595568262	1337.1838641337415	138.740577645386
Human	508417989	13501.465620698471	1911.8777171324398
Human	537261100	10344.427246643985	5074.95662284609
Human	611623402	5705.183172624635	1120.33984440176
Human	571527806	4863.998868097952	1571.2861276551998
Human	542137330	5031.200820976616	2356.0920700782103
Human	571691416	13035.02072703902	5100.3604658992
Human	571735073	17342.763401108783	3912.66758223367
Human	526714733	5406.365626176695	2235.82240445491
Human	613468354	2387.692379952247	771.2017450758791
Human	569821470	6078.089386788611	2023.2595754828199
Human	526734407	10702.58235543408	4385.239341582071
Human	611598198	909.849237645616	97.1908269216818
Human	526800653	14439.909909673284	6387.544544931321
Human	595562635	1604.9096348169007	719.3499627367261
Human	561435279	3047.686636806957	740.722806192659
Human	571464200	4197.334653531273	1512.18585152658
Human	571624971	27535.47440400397	4017.0485647435103
Human	643575207	5613.427109213091	38.4941656191249
Human	529845713	9374.553815795594	1992.4834055539102
Human	571429412	4271.056452550421	699.917668666855
Human	537204107	6918.757256522175	2840.99055264036
Human	541540569	7123.326125779585	2360.92349897219
Human	508305938	8496.656476209595	1505.74195817586
Human	525133308	3856.2118896239294	490.427367797021
Human	529898751	8262.554767645624	3450.2937967235
Human	537266147	8509.521951383409	2816.4890657893498
Human	596887423	2117.346160594306	729.825519657663
Human	528022041	12111.044713809995	3677.3137824570294
Human	531517732	7945.344104656368	2383.6748013119395
Human	614651270	9032.065368778809	2520.17139182953
Human	530081951	1824.3230564884823	167.851906876695
Human	569100745	6549.934517570303	1920.0928576835897
Human	569825715	2375.7879794809123	841.237745435209
Human	596036453	2243.3702586845525	391.774375264526
Human	541545716	3935.534464493512	1470.61320335526
Human	527941296	9517.903612662249	2349.2789237594
Human	576120017	9316.246305653976	4986.31699669052
Human	526725807	4819.206980739895	2277.7238492696
Human	526727406	6836.411853261501	3554.60531499024
Human	571642127	6387.988014552613	2131.9074791300895
Human	539537094	16396.711785516192	9055.85335591654
Human	528602977	4281.965033892313	1673.450894414
Human	528687520	9877.010790912873	273.870722177152
Human	488386504	4337.309142682827	107.626503908893
Human	539653924	6446.598275341945	2705.08035588739
Human	508279351	4285.64297931053	1505.2320499428101
Human	569818704	6868.938068548197	3156.1074408107106
Human	537297470	6829.806712210557	3940.48182530585
Human	571430815	3586.663437790852	915.114938008914
Human	508405843	1996.7956812849811	512.427428189707
Human	571666289	11272.806654501985	3518.1248194896802
Human	520454345	9385.344767713075	3178.8378760361898
Human	596028822	1602.0464572111844	176.790732893325
Human	571450870	6680.116916729935	1535.74858211992
Human	548440226	14814.429650712727	3555.7455793645704
Human	520631294	10955.672562049836	3561.2570799766704
Human	569849486	4299.626481843579	979.073294732097
Human	537218493	7536.9309150119425	2343.02952851904
Human	571654895	6816.9814182132495	2185.15797802831
Human	571700636	6348.96791070495	2028.83524328207
Human	548425467	5030.1286634342405	1667.9115637578
Human	537313158	9049.621411115335	2595.53743481913
Human	569107566	2343.800950251054	637.290194204194
Human	528614014	12093.270674916059	4032.19887070084
Human	548457754	13495.33430043845	394.718222420215
Human	611610514	5349.423831749767	1397.1677169808802
Human	528015670	3467.4819595875597	699.428316659909
Human	531523484	6680.2001419783655	2946.25722041466
Human	528623840	4704.086616121056	826.537191419944
Human	541563728	6440.797004244428	2489.41526061686
Human	529878215	4611.912975784641	2355.7650594674
Human	562381210	8023.658481576271	2971.0378166788105
Human	595570553	2686.245752161816	1175.2581119516099
Human	558211203	7352.461481232278	3125.88298343323
Human	529863215	8273.97702448256	5968.433592800289
Human	567742660	6415.23897421309	424.808293555307
Human	571520182	2147.4560808828105	896.683670643788
Human	488418027	4460.977077878065	904.463394681945
Human	571659461	4965.485760492449	1704.4588002713
Human	531517778	15178.101251876953	7091.88707376923
Human	539542640	14949.711491966516	3584.4529994515
Human	529889679	4273.122673137365	1738.4435250482502
Human	537313600	9330.746773407574	1721.22879827949
Human	569844159	3147.658523051341	1653.5939617704198
Human	528636794	7107.722593766744	1404.07900242198
Human	576107598	5165.118531141772	2183.44450490016
Human	508298270	16576.774949734692	7924.62268707155
Human	545612828	27087.0107824636	16108.163739313
Human	527952884	2222.127063469954	924.634884796079
Human	561469082	7546.625958346901	2115.0581929602
Human	601958555	14274.425162055031	2371.63208624457
